Metadata_Plate_Map_Name,Metadata_broad_sample,Metadata_pert_well,Metadata_mmoles_per_liter,Metadata_dose_recode,Metadata_unique_id,0,1,2,3,4,5,6,7,8,9
C-7161-01-LM6-001,BRD-A29731977-001-04-5,N14,3.3333,5,BRD-A29731977-001-04-5_dose_5,0.32564124,-0.15628633,-1.2488009,1.0470673,0.6162929,-0.8897374,0.22717156,0.82945925,-0.15253946,0.04968176
C-7161-01-LM6-001,BRD-A29731977-001-04-5,N15,1.1111,4,BRD-A29731977-001-04-5_dose_4,0.04492481,0.6256718,-0.001712136,-0.8499697,-0.73673195,0.86273485,-1.1379559,1.169533,0.36822408,0.13683012
C-7161-01-LM6-001,BRD-A29731977-001-04-5,N16,0.37037,3,BRD-A29731977-001-04-5_dose_3,0.50821257,0.5441872,0.27376112,-0.016613886,-0.28348297,0.20047759,-0.76817214,0.6017187,0.5878099,0.67540234
C-7161-01-LM6-001,BRD-A29731977-001-04-5,N17,0.12346,2,BRD-A29731977-001-04-5_dose_2,-0.27886546,0.60798705,1.0898477,2.161117,-0.31854427,0.5121007,-0.07380938,0.6426269,0.3550218,0.5874031
C-7161-01-LM6-001,BRD-A29731977-001-04-5,N18,0.041152,1,BRD-A29731977-001-04-5_dose_1,-0.031568736,0.57775855,1.4888892,0.31827652,-1.1201798,-0.72632587,-0.6067096,0.38190764,-0.5306947,0.53049254
C-7161-01-LM6-001,BRD-A29734509-011-13-6,M19,10.0,6,BRD-A29734509-011-13-6_dose_6,-1.2155794,0.7524605,-1.0216986,-0.06290482,-0.3527187,1.4835987,0.27719468,1.5052814,-0.78178596,0.77311784
C-7161-01-LM6-001,BRD-A29734509-011-13-6,M20,3.3333,5,BRD-A29734509-011-13-6_dose_5,-1.0598085,-3.0454617,0.72573346,1.9134467,0.7526919,1.352416,-0.69409984,-0.0991928,0.34663993,2.112433
C-7161-01-LM6-001,BRD-A29734509-011-13-6,M21,1.1111,4,BRD-A29734509-011-13-6_dose_4,-0.13229394,0.005155362,-0.95553845,0.67660135,0.8561243,-0.74330914,0.32977003,-0.5282637,0.0082994625,0.4355894
C-7161-01-LM6-001,BRD-A29734509-011-13-6,M22,0.37037,3,BRD-A29734509-011-13-6_dose_3,-0.4821366,-0.71433026,0.3919289,-0.7012701,-0.09189999,-1.0833923,0.25471854,0.22577742,0.026952624,-0.8813475
C-7161-01-LM6-001,BRD-A29734509-011-13-6,M23,0.12346,2,BRD-A29734509-011-13-6_dose_2,-0.08854109,-0.6702026,0.11512211,0.29484397,0.752725,-0.7214565,1.1705794,0.15736724,-0.035925157,-0.3933146
C-7161-01-LM6-001,BRD-A29734509-011-13-6,M24,0.041152,1,BRD-A29734509-011-13-6_dose_1,-0.8370062,0.6768468,0.4012665,2.370882,-0.56074774,-0.46094546,-1.7049304,-1.5794466,-0.14639008,-0.57780075
C-7161-01-LM6-001,BRD-A30051119-002-01-8,P01,10.0,6,BRD-A30051119-002-01-8_dose_6,0.22987007,-0.504321,-0.76380646,0.46481955,-0.13585627,-0.4154314,-1.2245483,2.9865904,1.3126974,-0.09692328
C-7161-01-LM6-001,BRD-A30051119-002-01-8,P02,3.3333,5,BRD-A30051119-002-01-8_dose_5,-0.812935,0.4809487,-0.16100067,1.6048201,0.43012065,0.3170286,0.2090041,1.7058376,0.42034954,-0.5652429
C-7161-01-LM6-001,BRD-A30051119-002-01-8,P03,1.1111,4,BRD-A30051119-002-01-8_dose_4,-1.5797766,-0.30625713,0.57452554,0.37571132,0.8730122,0.5692825,-2.9556,-0.20846039,0.31848964,-2.5707579
C-7161-01-LM6-001,BRD-A30051119-002-01-8,P04,0.37037,3,BRD-A30051119-002-01-8_dose_3,0.3878299,0.25688392,0.85762674,-0.0012561381,-0.67192006,-1.3787705,-0.2819973,0.42759916,-0.7704354,-1.1824615
C-7161-01-LM6-001,BRD-A30051119-002-01-8,P05,0.12346,2,BRD-A30051119-002-01-8_dose_2,1.5909696,0.3718158,-0.83703476,0.87340975,-0.2099523,-0.44388792,-1.3595092,1.5950198,2.0526521,-0.9481977
C-7161-01-LM6-001,BRD-A30051119-002-01-8,P06,0.041152,1,BRD-A30051119-002-01-8_dose_1,-1.1260513,0.47648072,1.1260779,-0.37015593,-1.0935345,1.4269199,1.0275571,-0.14880422,-0.006128907,-0.35914293
C-7161-01-LM6-001,BRD-K03842655-001-02-1,P19,2.0,4,BRD-K03842655-001-02-1_dose_4,1.1753871,-0.11537994,-0.51700807,0.874699,0.33772987,0.39355642,0.89001787,0.30247903,-1.7663574,-1.216402
C-7161-01-LM6-001,BRD-K03842655-001-02-1,P20,0.66667,3,BRD-K03842655-001-02-1_dose_3,-0.1592717,-0.021747332,-0.07943666,0.21455163,-0.5043546,-1.8390043,0.88948935,1.0594975,-0.9287161,0.13776
C-7161-01-LM6-001,BRD-K03842655-001-02-1,P21,0.22222,2,BRD-K03842655-001-02-1_dose_2,0.7066515,-0.8882461,0.034153916,0.7259806,-1.5326014,-0.18120667,-0.21192299,0.8939758,0.29709753,0.5801779
C-7161-01-LM6-001,BRD-K03842655-001-02-1,P22,0.074074,1,BRD-K03842655-001-02-1_dose_1,-0.121483356,0.19456944,-1.259023,-0.10199362,-1.6036134,0.5735907,1.0794325,1.7103512,0.3195964,0.45136565
